Date,Price,Open,High,Low,Vol.,Change %
10/20/2023,90.89,91.77,92.32,90.43,246.22K,-0.13%
10/19/2023,91.01,90.01,92.05,88.45,277.36K,0.88%
10/18/2023,90.22,89.83,91.55,89.3,260.24K,1.87%
10/17/2023,88.56,88.5,89.56,87.52,187.84K,0.33%
10/16/2023,88.27,89.44,89.88,88.12,207.04K,-1.20%
10/13/2023,89.34,85.15,89.47,85.01,281.72K,5.34%
10/12/2023,84.81,84.51,86.33,84.15,250.54K,0.14%
10/11/2023,84.69,86.3,86.8,84.09,259.32K,-1.79%
10/10/2023,86.23,86.51,86.79,85.44,236.05K,-0.31%
10/09/2023,86.5,84.6,87.46,84.41,238.94K,4.05%
10/06/2023,83.13,83.07,83.52,82.2,259.07K,0.59%
10/05/2023,82.64,84.36,84.91,82.29,314.03K,-1.84%
10/04/2023,84.19,89.3,89.45,84.14,274.06K,-5.61%
10/03/2023,89.19,88.8,89.82,88.01,246.48K,0.15%
10/02/2023,89.06,90.48,91.48,88.75,230.78K,-3.41%
09/29/2023,92.2,93.07,94.13,91.96,433.93K,-0.97%
09/28/2023,93.1,94.38,95.35,92.75,571.85K,-1.34%
09/27/2023,94.36,92.43,94.8,92.43,648.23K,2.09%
09/26/2023,92.43,91.87,92.7,90.41,436.80K,0.60%
09/25/2023,91.88,92.39,92.73,91.2,375.34K,-0.09%
09/22/2023,91.96,92.29,93.37,91.59,440.51K,-0.33%
09/21/2023,92.26,91.92,93.44,91.12,375.62K,-0.10%
09/20/2023,92.35,93.27,93.51,91.7,401.83K,-0.85%
09/19/2023,93.14,93.44,94.57,92.97,497.36K,-0.16%
09/18/2023,93.29,93.39,93.91,92.69,379.09K,0.27%
09/15/2023,93.04,93.16,93.83,91.92,320.62K,0.11%
09/14/2023,92.94,91.34,93.41,91.32,297.59K,1.91%
09/13/2023,91.2,91.29,92.06,90.93,278.67K,-0.14%
09/12/2023,91.33,90.03,91.66,89.93,318.91K,1.43%
09/11/2023,90.04,90.03,90.84,89.52,273.99K,0.01%
09/08/2023,90.03,89.1,90.34,88.63,237.00K,0.87%
09/07/2023,89.25,90.02,90.17,88.79,178.99K,-0.68%
09/06/2023,89.86,89.44,90.35,88.63,259.31K,0.57%
09/05/2023,89.35,88.15,90.37,87.39,377.08K,1.25%
09/04/2023,88.25,88.09,88.44,87.55,101.42K,0.51%
09/01/2023,87.8,86.22,88.19,86.15,295.07K,1.12%
08/31/2023,86.83,85.22,86.88,85.08,434.97K,1.87%
08/30/2023,85.24,85.04,85.68,84.59,371.69K,0.39%
08/29/2023,84.91,83.82,85.07,83.28,346.59K,1.24%
08/28/2023,83.87,84.24,84.69,83.56,216.24K,-0.10%
08/25/2023,83.95,82.77,84.41,82.18,398.51K,1.24%
08/24/2023,82.92,82.59,83.23,81.61,292.61K,0.10%
08/23/2023,82.84,83.61,83.93,81.64,309.59K,-1.02%
08/22/2023,83.69,84.07,84.35,83.5,257.84K,-0.48%
08/21/2023,84.09,84.36,85.44,83.94,221.66K,-0.32%
08/18/2023,84.36,83.47,84.63,82.91,196.43K,0.82%
08/17/2023,83.67,82.75,84.43,82.61,215.71K,0.78%
08/16/2023,83.02,84.49,84.82,82.69,265.94K,-1.50%
08/15/2023,84.28,85.39,85.95,83.7,216.45K,-1.44%
08/14/2023,85.51,85.9,86.03,84.86,174.50K,-0.73%
08/11/2023,86.14,85.84,86.67,85.3,209.56K,0.35%
08/10/2023,85.84,86.74,87.37,85.62,235.52K,-1.24%
08/09/2023,86.92,85.49,87,85.41,269.07K,1.46%
08/08/2023,85.67,85.39,85.82,82.93,217.71K,0.86%
08/07/2023,84.94,85.79,86.24,84.63,146.84K,-0.98%
08/04/2023,85.78,84.84,86.16,84.6,135.81K,1.29%
08/03/2023,84.69,83.05,84.98,82,229.26K,2.27%
08/02/2023,82.81,85.34,85.5,82.37,219.79K,-1.97%
08/01/2023,84.47,84.78,85.4,83.82,165.40K,-1.12%
07/31/2023,85.43,84.42,85.58,83.91,324.26K,1.21%
07/28/2023,84.41,83.28,84.5,82.85,353.95K,0.74%
07/27/2023,83.79,82.78,84.09,82.59,354.64K,1.49%
07/26/2023,82.56,82.8,83.43,82.2,333.94K,-0.83%
07/25/2023,83.25,82.6,83.47,81.94,311.66K,0.93%
07/24/2023,82.48,80.69,82.9,80.25,330.57K,1.98%
07/21/2023,80.88,79.64,81.06,79.53,248.83K,1.71%
07/20/2023,79.52,79.22,80.16,78.58,238.05K,0.21%
07/19/2023,79.35,79.67,80.74,79.06,256.62K,-0.19%
07/18/2023,79.5,78.39,79.83,78.1,280.68K,1.43%
07/17/2023,78.38,79.2,80.36,78.12,225.40K,-1.53%
07/14/2023,79.6,81.27,81.31,79.26,193.77K,-1.72%
07/13/2023,80.99,79.85,81.37,79.6,294.73K,1.50%
07/12/2023,79.79,78.97,80.18,78.85,227.03K,0.91%
07/11/2023,79.07,77.49,79.17,77.37,196.14K,2.16%
07/10/2023,77.4,78.22,78.42,77.06,151.51K,-0.87%
07/07/2023,78.08,76.22,78.15,75.75,158.10K,2.44%
07/06/2023,76.22,76.46,76.77,74.78,182.82K,-0.25%
07/05/2023,76.41,75.83,76.7,75.13,152.98K,0.47%
07/04/2023,76.05,74.7,76.07,74.56,92.05K,2.12%
07/03/2023,74.47,75,76.43,74.4,161.12K,-1.25%
06/30/2023,75.41,74.33,75.84,74.28,377.26K,1.21%
06/29/2023,74.51,73.95,75.15,73.57,317.85K,0.36%
06/28/2023,74.24,72.69,74.42,71.86,450.84K,2.39%
06/27/2023,72.51,74.45,75.08,72.33,458.82K,-2.47%
06/26/2023,74.35,74.6,75,73.61,275.70K,0.46%
06/23/2023,74.01,74.22,74.55,72.3,298.36K,-0.46%
06/22/2023,74.35,77.07,77.21,73.81,393.62K,-3.62%
06/21/2023,77.14,75.55,77.25,75.49,199.76K,1.65%
06/20/2023,75.89,76.08,77.08,74.53,262.49K,-0.22%
06/19/2023,76.06,76.34,76.9,75.34,114.60K,-0.68%
06/16/2023,76.58,75.64,76.7,75.14,223.17K,1.22%
06/15/2023,75.66,73.36,75.94,72.88,220.09K,3.40%
06/14/2023,73.17,74,75.37,73.01,256.42K,-1.40%
06/13/2023,74.21,72.08,74.58,71.92,251.90K,3.33%
06/12/2023,71.82,74.8,74.8,71.57,269.49K,-3.91%
06/09/2023,74.74,75.43,76.46,74.67,188.79K,-1.45%
06/08/2023,75.84,76.66,77.54,73.53,311.19K,-1.30%
06/07/2023,76.84,76.03,77.47,75.34,255.69K,0.99%
06/06/2023,76.09,76.33,76.54,74.53,192.92K,-0.50%
06/05/2023,76.47,77.88,78.47,76.06,280.23K,0.66%
06/02/2023,75.97,74.2,76.33,74.11,180.62K,2.37%
06/01/2023,74.21,72.06,75.12,72,223.21K,2.22%
05/31/2023,72.6,73.84,73.95,71.5,442.11K,-1.51%
05/30/2023,73.71,77.04,77.59,73.32,461.39K,-4.40%
05/29/2023,77.1,77.42,77.83,76.16,97.65K,0.16%
05/26/2023,76.98,76.01,77.32,75.66,311.16K,1.05%
05/25/2023,76.18,78.21,78.39,75.05,275.25K,-2.62%
05/24/2023,78.23,77.59,78.5,76.94,311.89K,1.94%
