Date,Price,Open,High,Low,Vol.,Change %
01/06/2023,2.9214,2.9029,2.9639,2.878,35.29K,1.00%
01/05/2023,2.8925,2.9128,2.974,2.85,45.90K,0.02%
01/04/2023,2.8918,2.9968,3.0044,2.8539,37.38K,-3.55%
01/03/2023,2.9982,3.1665,3.214,2.9908,33.64K,-9.45%
01/02/2023,3.3112,3.3009,3.3184,3.2971,,0.49%
12/30/2022,3.295,3.275,3.3105,3.2221,39.58K,0.97%
12/29/2022,3.2633,3.2879,3.2891,3.1884,46.09K,-1.11%
12/28/2022,3.2999,3.3463,3.3505,3.186,45.79K,-0.40%
12/27/2022,3.3131,3.2338,3.3543,3.2016,50.62K,0.11%
12/26/2022,3.3096,3.259,3.3096,3.2548,,2.95%
12/23/2022,3.2148,3.114,3.2529,3.0805,44.26K,3.86%
12/22/2022,3.0954,3.1511,3.183,3.0816,38.59K,-0.43%
12/21/2022,3.1088,3.0334,3.1526,3.0211,39.15K,2.63%
12/20/2022,3.0291,3.0648,3.0648,2.9682,35.43K,0.37%
12/19/2022,3.0179,3.075,3.1267,3.0152,37.40K,-1.84%
12/16/2022,3.0746,3.214,3.2242,3.0683,43.88K,-4.36%
12/15/2022,3.2146,3.2182,3.258,3.1786,45.57K,-0.47%
12/14/2022,3.2298,3.055,3.2367,3.0458,47.73K,5.57%
12/13/2022,3.0594,2.9338,3.0816,2.922,38.28K,4.07%
12/12/2022,2.9397,2.8008,2.9683,2.7652,45.82K,5.82%
12/09/2022,2.778,2.8388,2.8613,2.7517,38.36K,-2.36%
12/08/2022,2.845,2.7667,2.8667,2.765,48.44K,2.84%
12/07/2022,2.7665,2.8941,2.9111,2.7555,49.41K,-4.17%
12/06/2022,2.8869,2.9702,2.9985,2.8544,36.42K,-2.80%
12/05/2022,2.9702,3.1414,3.1995,2.9625,45.65K,-5.09%
12/02/2022,3.1294,3.2122,3.2595,3.11,33.28K,-2.60%
12/01/2022,3.2129,3.2854,3.3439,3.1979,40.75K,-4.48%
11/30/2022,3.3635,3.2665,3.3684,3.245,49.97K,3.69%
11/29/2022,3.2439,3.1231,3.276,3.1082,63.13K,2.94%
11/28/2022,3.1514,3.2077,3.2077,3.111,57.39K,-0.53%
11/25/2022,3.1683,3.2571,3.358,3.1644,36.80K,-6.20%
11/24/2022,3.3777,3.3483,3.3964,3.3334,,3.08%
11/23/2022,3.2768,3.3785,3.3982,3.2594,57.74K,-2.66%
11/22/2022,3.3664,3.3725,3.4185,3.3515,42.98K,-0.36%
11/21/2022,3.3787,3.388,3.4026,3.2524,35.56K,-0.53%
11/18/2022,3.3968,3.4008,3.4233,3.2926,36.42K,-0.01%
