Date,Price,Open,High,Low,Vol.,Change %
03/08/2022,3.6826,3.5804,3.8309,3.553,5.32K,3.09%
03/07/2022,3.5721,3.7106,3.814,3.5432,3.98K,-6.29%
03/06/2022,3.8118,3.8133,3.8209,3.7512,,7.56%
03/04/2022,3.544,3.3418,3.5475,3.2635,6.49K,7.90%
03/03/2022,3.2844,3.397,3.5218,3.2413,2.66K,-0.72%
03/02/2022,3.3083,3.1448,3.3611,3.1398,13.29K,7.11%
03/01/2022,3.0887,2.9613,3.161,2.9598,12.76K,5.33%
02/28/2022,2.9325,2.9834,2.9974,2.9206,8.64K,-1.80%
02/27/2022,2.9862,3.019,3.0278,2.9714,,9.49%
02/25/2022,2.7273,2.8107,2.8107,2.7131,0.27K,-1.58%
02/24/2022,2.771,2.7747,2.9127,2.7464,1.16K,1.68%
02/23/2022,2.7253,2.727,2.7699,2.6923,2.37K,0.53%
02/22/2022,2.7108,2.7514,2.8006,2.6951,1.49K,-0.28%
02/21/2022,2.7185,2.6716,2.7437,2.6716,0.33K,-4.63%
02/20/2022,2.8505,2.8466,2.8518,2.8464,,6.78%
02/18/2022,2.6696,2.6494,2.683,2.5929,1.54K,0.79%
02/17/2022,2.6486,2.6464,2.658,2.6004,1.72K,-1.06%
02/16/2022,2.6771,2.6832,2.7238,2.5925,2.22K,0.30%
02/15/2022,2.6691,2.7688,2.7688,2.6473,6.42K,-3.97%
02/14/2022,2.7794,2.7411,2.7856,2.7021,11.04K,0.93%
02/13/2022,2.7538,2.7456,2.7557,2.7423,,0.56%
02/11/2022,2.7386,2.6496,2.7629,2.6407,16.86K,2.75%
02/10/2022,2.6654,2.6452,2.7064,2.6452,12.51K,0.45%
02/09/2022,2.6534,2.6309,2.672,2.6122,17.58K,1.08%
02/08/2022,2.6251,2.6819,2.6894,2.5962,18.89K,-2.24%
02/07/2022,2.6853,2.6789,2.7117,2.6718,16.09K,-0.29%
02/06/2022,2.693,2.6841,2.6959,2.6793,,0.54%
02/04/2022,2.6785,2.6428,2.7022,2.6428,10.40K,1.35%
02/03/2022,2.6427,2.601,2.6473,2.5733,10.99K,1.37%
02/02/2022,2.607,2.5852,2.6165,2.5653,10.47K,1.23%
02/01/2022,2.5752,2.5607,2.5869,2.513,12.87K,0.81%
01/31/2022,2.5544,2.5617,2.5834,2.5283,12.01K,-0.18%
01/30/2022,2.559,2.5577,2.561,2.5552,,0.66%
01/28/2022,2.5423,2.55,2.575,2.5433,0.09K,0.84%
01/27/2022,2.521,2.5225,2.569,2.5132,1.44K,-0.08%
01/26/2022,2.5229,2.4586,2.5346,2.4543,0.70K,2.58%
01/25/2022,2.4595,2.4134,2.4655,2.4046,0.93K,2.56%
01/24/2022,2.398,2.4577,2.4648,2.3743,1.33K,-2.71%
01/23/2022,2.4649,2.4451,2.4649,2.4426,,0.92%
01/21/2022,2.4424,2.4215,2.4564,2.4004,1.72K,-0.80%
01/20/2022,2.4622,2.4446,2.4815,2.4322,2.17K,0.21%
01/19/2022,2.457,2.4669,2.4786,2.4386,2.48K,1.04%
01/18/2022,2.4318,2.439,2.4683,2.4224,9.17K,0.02%
01/17/2022,2.4313,2.4237,2.432,2.4091,1.55K,0.09%
01/16/2022,2.4291,2.425,2.4333,2.425,,0.42%
01/14/2022,2.419,2.3776,2.4284,2.3774,8.80K,1.46%
01/13/2022,2.3841,2.3934,2.4037,2.3669,9.46K,-0.28%
01/12/2022,2.3908,2.3562,2.4005,2.3449,11.29K,1.42%
01/11/2022,2.3574,2.2859,2.3627,2.2826,10.87K,3.60%
01/10/2022,2.2754,2.3027,2.3172,2.2686,8.65K,-0.90%
01/09/2022,2.296,2.302,2.307,2.291,,-0.13%
01/07/2022,2.2989,2.3072,2.3331,2.2934,8.56K,-0.23%
01/06/2022,2.3043,2.2728,2.3274,2.2578,9.38K,0.53%
01/05/2022,2.2921,2.2677,2.315,2.2617,6.99K,0.69%
01/04/2022,2.2763,2.2583,2.2978,2.2513,8.58K,0.88%
01/03/2022,2.2565,2.241,2.2715,2.2105,6.42K,0.84%
01/02/2022,2.2377,2.2317,2.2407,2.2308,,0.59%
12/31/2021,2.2246,2.2708,2.2915,2.2192,5.84K,-3.14%
12/30/2021,2.2968,2.2629,2.2998,2.2563,0.31K,1.10%
12/29/2021,2.2717,2.2539,2.284,2.2337,0.97K,1.09%
12/28/2021,2.2471,2.2288,2.2671,2.2277,1.59K,0.59%
12/27/2021,2.2339,2.1984,2.2575,2.1841,0.73K,1.55%
12/26/2021,2.1997,2.1933,2.2019,2.1933,,-0.12%
12/24/2021,2.2023,2.2212,2.23,2.2212,0.00K,-0.17%
12/23/2021,2.2061,2.1732,2.2178,2.162,1.95K,1.76%
12/22/2021,2.168,2.157,2.177,2.1341,1.81K,0.73%
12/21/2021,2.1522,2.1084,2.1619,2.0843,1.99K,2.98%
12/20/2021,2.09,2.0979,2.106,2.0257,6.46K,-0.40%
12/19/2021,2.0983,2.1016,2.1035,2.0897,,-1.10%
12/17/2021,2.1217,2.1601,2.1661,2.1,9.16K,-2.58%
12/16/2021,2.1778,2.1506,2.1859,2.137,11.27K,2.36%
12/15/2021,2.1275,2.105,2.1462,2.0802,13.62K,0.79%
12/14/2021,2.1108,2.1153,2.1408,2.0729,16.24K,-0.27%
12/13/2021,2.1165,2.1576,2.1744,2.1147,15.64K,-1.82%
12/12/2021,2.1557,2.1483,2.1564,2.1475,,0.87%
12/10/2021,2.1372,2.1152,2.1568,2.1095,11.11K,0.41%
12/09/2021,2.1284,2.1483,2.1643,2.1074,9.38K,-0.94%
