Date,Price,Open,High,Low,Vol.,Change %
07/17/2023,74.15,75.02,76.09,73.84,244.79K,-1.68%
07/14/2023,75.42,77.16,77.3,75.11,299.58K,-1.91%
07/13/2023,76.89,75.85,77.33,75.32,379.73K,1.50%
07/12/2023,75.75,74.83,76.15,74.67,352.89K,1.23%
07/11/2023,74.83,73.19,74.96,72.98,326.88K,2.52%
07/10/2023,72.99,73.86,74.15,72.67,301.01K,-1.18%
07/07/2023,73.86,71.89,73.92,71.19,362.63K,2.87%
07/06/2023,71.8,71.8,72.34,70.22,395.38K,0.01%
07/05/2023,71.79,70.15,72.17,69.9,456.81K,1.03%
07/04/2023,71.06,70.08,71.34,69.91,,1.82%
07/03/2023,69.79,70.45,71.77,69.69,303.48K,-1.20%
06/30/2023,70.64,69.82,71.04,69.53,299.87K,1.12%
06/29/2023,69.86,69.25,70.6,68.93,292.87K,0.43%
06/28/2023,69.56,68.01,69.73,67.05,368.30K,2.75%
06/27/2023,67.7,69.49,70.15,67.5,384.75K,-2.41%
06/26/2023,69.37,69.84,70.11,68.71,280.12K,0.30%
06/23/2023,69.16,69.53,69.65,67.35,322.48K,-0.50%
06/22/2023,69.51,72.43,72.65,68.93,421.35K,-4.16%
06/21/2023,72.53,70.9,72.72,70.8,264.66K,2.88%
06/20/2023,70.5,71.45,72.09,69.65,28.74K,-1.14%
06/19/2023,71.31,71.47,72.25,70.83,,-0.22%
06/18/2023,71.47,71.59,71.67,71.42,,-0.43%
06/16/2023,71.78,70.55,71.89,69.95,99.19K,1.64%
06/15/2023,70.62,68.7,70.96,67.97,115.61K,3.44%
06/14/2023,68.27,69.35,70.49,68.07,304.45K,-1.66%
06/13/2023,69.42,67.31,69.83,67.15,366.35K,3.43%
06/12/2023,67.12,70.27,70.33,66.8,404.77K,-4.35%
06/09/2023,70.17,70.94,71.77,70.1,300.72K,-1.57%
06/08/2023,71.29,72.47,73.28,69.03,485.40K,-1.71%
06/07/2023,72.53,71.56,73.19,71.01,299.13K,1.10%
06/06/2023,71.74,71.99,72.33,70.13,314.96K,-0.57%
06/05/2023,72.15,75.03,75.06,71.73,383.94K,0.57%
06/02/2023,71.74,70.21,72.17,70,322.60K,2.34%
06/01/2023,70.1,67.6,71.07,67.51,395.39K,2.95%
05/31/2023,68.09,69.62,69.69,67.03,444.79K,-1.97%
05/30/2023,69.46,73.23,73.55,69.02,440.86K,-4.68%
05/29/2023,72.87,73.22,73.55,72.05,,-0.48%
05/28/2023,73.22,73.11,73.45,73.06,,0.76%
05/26/2023,72.67,71.89,73.05,71.49,261.50K,1.17%
05/25/2023,71.83,74.21,74.37,70.98,422.64K,-3.38%
05/24/2023,74.34,73.77,74.73,73.13,386.61K,1.96%
05/23/2023,72.91,72.1,73.79,71.71,317.59K,1.28%
05/22/2023,71.99,71.7,72.36,70.55,18.68K,0.61%
05/19/2023,71.55,71.94,73.4,71.03,69.95K,-0.43%
05/18/2023,71.86,72.75,72.87,71.42,80.86K,-1.33%
05/17/2023,72.83,70.6,73.26,70.04,273.71K,2.78%
05/16/2023,70.86,71.32,71.79,70.45,232.33K,-0.35%
05/15/2023,71.11,70.04,71.69,69.41,259.01K,1.53%
05/12/2023,70.04,71.42,71.78,69.93,275.44K,-1.17%
05/11/2023,70.87,72.77,73.5,70.63,365.89K,-2.33%
05/10/2023,72.56,73.58,73.89,71.8,351.51K,-1.56%
05/09/2023,73.71,72.84,73.78,71.34,317.49K,0.75%
05/08/2023,73.16,71.35,73.69,71.04,290.08K,2.55%
